config,fold,n_features,roc_auc,pr_auc,f1,accuracy,precision,recall,brier
3_Raw_Plus_Composite_Q4,13,19,0.6767412515527821,0.5037366358274462,0.4446786090621707,0.7079523413688003,0.581267217630854,0.36006825938566556,0.203958031916523
3_Raw_Plus_Composite_Q4,14,19,0.6629271148739355,0.5081142365003686,0.45648775403856173,0.7110002770850651,0.5871313672922251,0.3734015345268542,0.2060109425041485
3_Raw_Plus_Composite_Q4,15,19,0.6569511112790942,0.4939573635744381,0.43649559357179885,0.6988085342200056,0.5568783068783069,0.3589087809036658,0.21032393326121235
3_Raw_Plus_Composite_Q4,16,19,0.6628256269412905,0.5037207009202129,0.4350515463917526,0.696398891966759,0.5501955671447197,0.3597612958226769,0.2073484067339236
3_Raw_Plus_Composite_Q4,17,19,0.6683215669688435,0.5206265865415287,0.45065963060686015,0.7115544472152951,0.5905947441217151,0.3643344709897611,0.20404347156170777
3_Raw_Plus_Composite_Q4,18,19,0.6650090821115313,0.4975204732969173,0.430062630480167,0.6974231088944306,0.553763440860215,0.3515358361774744,0.20737949647779752
3_Raw_Plus_Composite_Q4,19,19,0.6544325876277548,0.4939679854256734,0.4328824141519251,0.6979772790246606,0.5554072096128171,0.3546462063086104,0.21005271507720388
3_Raw_Plus_Composite_Q4,20,19,0.6606155955635628,0.5016463132641051,0.44914816726897266,0.7043502355223054,0.569371727748691,0.37084398976982097,0.20792713796973158
3_Raw_Plus_Composite_Q4,21,19,0.6684379876729911,0.5069869746101339,0.4481500781657113,0.7066481994459833,0.5764075067024129,0.36658141517476556,0.2054565279158131
3_Raw_Plus_Composite_Q4,22,19,0.6570048148495674,0.5062130772398343,0.4356020942408377,0.7013022998060404,0.5636856368563685,0.35494880546075086,0.20862191922870707
3_Raw_Plus_Composite_Q4,23,19,0.6607066330924976,0.4988608123361761,0.43478260869565216,0.7010252147409255,0.5630936227951153,0.35409556313993173,0.2083361561438457
3_Raw_Plus_Composite_Q4,24,19,0.6650388041273481,0.5024334067158003,0.45565749235474007,0.7040731504571903,0.5665399239543726,0.38107416879795397,0.20722191128564266
3_Raw_Plus_Composite_Q4,25,19,0.6692329605505372,0.5101387832295182,0.42938437661665807,0.6943751731781657,0.5460526315789473,0.3537936913895993,0.20517011283143663
4_Raw_Plus_Composite_Acceleration,1,19,0.6525032699561778,0.48199020167744355,0.4158415841584158,0.6894736842105263,0.5348525469168901,0.340153452685422,0.21170087383287103
4_Raw_Plus_Composite_Acceleration,2,19,0.6766279877486027,0.5172024288910193,0.44491080797481636,0.7068440011083402,0.5776566757493188,0.36177474402730375,0.2029211265293424
4_Raw_Plus_Composite_Acceleration,3,19,0.6547092533902115,0.48514934906644397,0.42789722076560044,0.6977001939595456,0.5551020408163265,0.34812286689419797,0.21085049531192432
4_Raw_Plus_Composite_Acceleration,4,19,0.6765510802021959,0.5266342796225214,0.4559207094418362,0.7110002770850651,0.5873655913978495,0.37254901960784315,0.20217306179666672
4_Raw_Plus_Composite_Acceleration,5,19,0.6659061925619822,0.5059350050436963,0.44235785080855505,0.7037960653920754,0.5698924731182796,0.3614663256606991,0.20620985655763893
4_Raw_Plus_Composite_Acceleration,6,19,0.6622531441079045,0.4964041009273237,0.43302180685358255,0.6975069252077563,0.5537848605577689,0.3554987212276215,0.20784349708740843
4_Raw_Plus_Composite_Acceleration,7,19,0.6714672196694589,0.5185776721277157,0.4460431654676259,0.7013022998060404,0.5607235142118863,0.3703071672354949,0.20429343789068727
4_Raw_Plus_Composite_Acceleration,8,19,0.6556785604748187,0.4976237589912759,0.437696335078534,0.7024106400665004,0.5663956639566395,0.35665529010238906,0.20866754213431965
4_Raw_Plus_Composite_Acceleration,9,19,0.6630469779116044,0.5071950457380765,0.432605221097496,0.7049044056525353,0.5767045454545454,0.34612105711849955,0.20632144841168254
4_Raw_Plus_Composite_Acceleration,10,19,0.6577154349995871,0.48976663486136657,0.4402257567983581,0.6977001939595456,0.5528350515463918,0.3657289002557545,0.2103767756056949
4_Raw_Plus_Composite_Acceleration,11,19,0.6740277849199661,0.5253859440174848,0.4549266247379455,0.7119113573407202,0.5904761904761905,0.3699914748508099,0.20250411215202171
4_Raw_Plus_Composite_Acceleration,12,19,0.6699476990817054,0.5185899186630659,0.45318158303155714,0.7071210861734553,0.5755584756898817,0.37372013651877134,0.20420273780425835
4_Raw_Plus_Composite_Acceleration,13,19,0.6808653144567329,0.5054587446455125,0.4286472148541114,0.7015793848711555,0.5666199158485273,0.3447098976109215,0.20324285863128316
4_Raw_Plus_Composite_Acceleration,14,19,0.6672145369892084,0.5086523470399411,0.44385872430152873,0.7076752563036852,0.5814917127071824,0.3589087809036658,0.2051755824054787
4_Raw_Plus_Composite_Acceleration,15,19,0.6528099745645385,0.49116625533110714,0.4240246406570842,0.6891105569409809,0.5329032258064517,0.35208866155157714,0.2114461090874994
4_Raw_Plus_Composite_Acceleration,16,19,0.6645336302617959,0.5074972651910453,0.434279705573081,0.7019390581717452,0.5665294924554184,0.35208866155157714,0.20667713272771326
4_Raw_Plus_Composite_Acceleration,17,19,0.6740897931631376,0.5248822781687706,0.44538258575197887,0.7087835965641452,0.5836791147994468,0.36006825938566556,0.20295421202244235
4_Raw_Plus_Composite_Acceleration,18,19,0.6703461355860517,0.5063399986304594,0.43209229155742,0.6999168744804655,0.5605442176870749,0.3515358361774744,0.2050375642118868
4_Raw_Plus_Composite_Acceleration,19,19,0.6600469023191486,0.50344698143928,0.4228571428571429,0.6921584926572458,0.5412234042553191,0.34697357203751067,0.20781749785529474
4_Raw_Plus_Composite_Acceleration,20,19,0.6633225754069744,0.5042975978911883,0.4387966804979253,0.7001939595455805,0.5602649006622517,0.36061381074168797,0.20714069974897215
4_Raw_Plus_Composite_Acceleration,21,19,0.6697835759520129,0.5054771629821074,0.44525168655941877,0.7038781163434903,0.5689655172413793,0.3657289002557545,0.20550902635395757
4_Raw_Plus_Composite_Acceleration,22,19,0.6537579774830857,0.49567487498670265,0.42427440633245384,0.6977001939595456,0.5560165975103735,0.3430034129692833,0.21018543986252136
4_Raw_Plus_Composite_Acceleration,23,19,0.6575100379389978,0.5021101289664327,0.4316396018858041,0.6993627043502355,0.5590230664857531,0.3515358361774744,0.20875963684366994
4_Raw_Plus_Composite_Acceleration,24,19,0.6637490078490167,0.5055422804666548,0.44627249357326476,0.7015793848711555,0.5621761658031088,0.3699914748508099,0.20734286595255103
4_Raw_Plus_Composite_Acceleration,25,19,0.6707703571183596,0.5085391855415616,0.4264012572027239,0.6965918536990856,0.5529891304347826,0.34697357203751067,0.20488398399072957
5_Raw_Plus_Composite_And_Interaction,1,20,0.6561671251077013,0.48927903894927083,0.4164470216130733,0.6933518005540166,0.5455801104972375,0.33674339300937767,0.21016376597852657
